smiles,absorption wave length
O=c1c2ccccc2[nH]c(=S)n1-c1cccc2ccccc12,368.42
NC(=O)c1cnn(-c2ccc3ccccc3c2)c1N,309.46
O=C(Oc1ccc2c(c1)OCC2=O)c1ccccc1,334.34
Cc1cc(=O)oc2cc(OCC(=O)N[C@H](C)C(=O)O)ccc12,295.8
CC(C)(C)c1cc(CN2CCOCC2)c(C(=O)O)o1,275.32
CCOc1ccc(C(=O)C[C@H]2OC(=O)c3ccccc32)cc1,328.82
NC(=O)c1ccc(NC(=S)Nc2ccc(F)cc2)cc1,371.63
CCOC(=O)C1(C(=O)OCC)Oc2ccc3ccccc3c2[C@@H]1O,307.68
CCOC(=O)c1cc(CC)sc1NC(=O)CCl,301.2
O=C(CCl)NNC(=O)c1cccc2ccccc12,296.46
O=C(Nc1cccc2ccccc12)c1scc2c1CCCC2,329.42
Cc1ccc(-c2nc(NC(=O)c3ccc(C)c(C)c3)sc2C)cc1,313.74
CC(C)[C@@H](C(=O)O)N1C(=O)c2ccccc2C1=O,324.73
COc1cc(/C=C/C(=O)Nc2[nH]cnc2C#N)cc(OC)c1OC,372.53
CCOC(=O)N1CCN(C(=O)c2ccc(C(C)(C)C)cc2)CC1,267.99
Cn1nc(C(F)(F)F)c(-c2ccccc2)c1NC(=O)c1ccco1,278.48
Nc1cc(-c2cccc3ccccc23)nc(N)n1,310.74
Cc1ccccc1Cn1c(N)nc2ccccc21,295.81
N#Cc1ccccc1NC(=O)Cc1ccc(Cl)cc1,268.2
CC1(C)C(=O)O[C@H](c2ccc([N+](=O)[O-])cc2)C(C)(C)C1=O,329.78
CCOC(=O)CSc1nc2c(c(=O)[nH]c(=O)n2C)n1CC,272.13
Cc1ccc2oc(=O)c(-c3nc4ccccc4[nH]3)cc2c1,371.12
O=C(Nc1ccc(NC(=O)c2cccs2)cc1)c1cccnc1,345.23
CC[C@@H](C)C(=O)Nc1cc(C)ccc1C,250.19
Cc1cc(/C=C2/NC(=S)NC2=O)c(C)n1-c1ccccc1,399.59
Nc1cc2ccccc2oc1=O,308.02
O=C(COc1cccc(Cl)c1)Nc1nnc([C@@H]2CCCO2)s1,270.39
COC(=O)COc1ccc(OC)cc1,264.35
COc1ccc(-c2ccc3cnccc3n2)cc1OC,338.18
CC(=O)Nc1cccc(C)c1C(=O)O,274.87
c1ccc2c(c1)sc1sc3ccccc3c12,284.31
Nc1ccc2c(c1)OC1(CCCC1)O2,278.71
COC(=O)c1ccc(/C=C2/N=C(c3cccc(F)c3)OC2=O)cc1,385.13
CC(=O)C1=C(C)NC(=S)[C@@H](C#N)[C@@H]1c1ccc(Cl)cc1,429.01
CC(C)[C@@]1(O)CC(C(C)(C)C)=NN1C(=O)c1ccccc1,269.79
CCOc1ccc(CC(=O)NCc2ccccc2)cc1OCC,250.09
Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1,376.35
NCc1ccc(S(N)(=O)=O)cc1,246.78
CCOc1ccc([C@H]2C(C(=O)OC(C)C)=C(C)Nc3ncnn32)cc1,293.64
O=C(O)CNS(=O)(=O)c1ccccc1F,237.4
COc1cc(C(=O)Nc2cccc(O)c2)c2ccccc2n1,323.21
S=C(NN=C1CCCCCC1)Nc1ccccc1,378.63
O=C(O)/C(S)=C/c1ccccc1Cl,313.13
N#C[C@H](c1ccccc1)c1ccc(C(=O)c2ccc(F)cc2)cc1,346.4
O=C1C(=Cc2c[nH]c3ccccc23)C(=O)c2ccccc21,394.79
NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H](c1ccccc1)NC2=O,309.09
O=C(Nc1ccc(F)c(Cl)c1)Oc1ccccc1,256.44
Cc1cccc(/C=N/NC(=O)CNc2ccc3ccccc3c2)n1,353.48
CCc1ccc(NC(=O)COc2ccc(C(C)C)c(C)c2)cc1,267.72
COc1cccc(/C=C/c2oc3ccc(O)cc3c2C=O)c1,394.41
S=C(NCCc1ccccc1)NC1CCCCC1,295.53
Cc1cc(C)nc(SC(=O)OC(C)(C)C)n1,282.57
CSC1=N/C(=C/c2cccs2)C(O)=N1,429.09
CC1CCN(c2cc(C(C)C)c(C#N)c3nc4ccccc4n23)CC1,385.2
N#Cc1ccc(NC(=O)[C@H]2CC=CC[C@@H]2C(=O)O)cc1,260.32
c1ccc(-c2nc3nonc3c3nc4ccccc4n23)cc1,341.38
CCOC(=O)[C@@H]1CCCN(C(=O)N2CCOCC2)C1,219.35
COC(=O)c1cc(C(=O)NC[C@H]2CCCO2)cc([N+](=O)[O-])c1,330.61
Clc1ccc(-c2nccc(-c3cc(-c4ccccc4)no3)n2)cc1,321.14
Cc1ccc(N2C(=O)CS[C@@H]2c2cccs2)cc1,270.94
Cc1nc([C@H]2CC(=O)O[C@@]23CCOC(C)(C)C3)cs1,245.15
N#CCC(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2,252.32
CCOc1ccc(C(=O)C[C@@H](SC2CCCCC2)C(=O)O)cc1,312.03
COC(=O)c1c(SC)nc(-c2ccccc2)[nH]c1=O,353.22
CN(C)CC[C@](O)(c1ccccc1)c1ccccc1Cl,254.24
CC(C)(C)N1C(=O)c2ccc(C(=O)Nc3ccc(O)cc3)cc2C1=O,377.99
CCSc1nsc(SCC)c1C#N,297.89
C=CCc1c(NC(C)=O)ccc(C(C)=O)c1O,317.79
Cc1cc(NC(=O)c2ccccc2)c(Cl)cc1N,296.19
COc1cc(C(=O)Nc2ccccc2OC(C)C)cc(OC)c1OC,287.9
COc1ccccc1/C=C1/N=C(c2ccc(NC(C)=O)cc2)OC1=O,406.66
COc1ccccc1NCC(=O)N/N=C/c1ccc(O)cc1O,323.69
NNC(=O)[C@H]1Cc2c(ccc3ccccc23)O1,314.78
COc1ccc(-c2csc3ncnc(N4CCC(C)CC4)c23)cc1,295.19
C[C@]12CC[C@@H]3c4ccc(O)cc4C=C[C@@H]3[C@H]1CCC2=O,300.03
CSc1[nH]nc(-c2ccccc2)c1C#N,271.19
COc1ccc(/C=C/C(=O)Nc2c(C)cc(C)cc2Cl)cc1,312.32
Cc1cc(Nc2ccc(F)cc2)nc(Nc2ccc(F)cc2)n1,305.92
CSC1=NC=C(C#N)C2=N[C@@H](c3ccc4c(c3)OCO4)NN12,393.62
Cc1ccc(OC(=O)/C=C/c2cccc([N+](=O)[O-])c2)cc1C,365.54
O=C(Cn1nnc(-c2ccc3c(c2)OCO3)n1)NCc1ccco1,295.57
CN1C(=O)/C(=C/c2ccc(OCc3ccc(F)cc3)cc2)N=C1S,361.93
CC(=O)N1[C@H](c2ccc(F)cc2)SC[C@H]1C(=O)O,254.09
CCC(CC)C(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O,273.41
C[C@]12C[C@@H](O)CCN1CCc1ccccc12,267.63
CCOC(=O)c1cnc2ccc(F)cc2c1Nc1ccc(OC)cc1,392.28
C#C[C@@](C)(CC)NC(=O)c1ccc(Cl)cc1,279.18
O=c1c(-c2ccccc2)coc2cc(OCc3ccccc3)ccc12,329.14
CC1CCN(S(=O)(=O)c2cccc3ccccc23)CC1,289.78
O=C(Nc1ccc(O)c(-c2nc3ccccc3s2)c1)c1ccccc1,368.6
Cc1nn2c(=O)c(=Cc3ccccn3)sc2nc1=O,410.05
O=C(O)c1ccc(-n2cccc2)cc1,319.86
O=c1/c(=C/c2cccnc2)sc2n1CN(c1ccccc1)CN=2,395.64
O=C(Nc1ncccn1)c1ccc(Cl)cc1,304.96
NS(=O)(=O)c1ccc(CNC(=O)c2cccs2)cc1,274.78
O=[N+]([O-])c1ccc(F)cc1F,330.75
CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,297.27
COC(=O)CCC(=O)Nc1ccc(N(C)C(C)=O)cc1,257.19
O=C(NC(=O)c1ccc(C(F)(F)F)cc1)Nc1ccc(F)cc1,357.47
C[n+]1ccccc1C#N,253.62
CCCC(=O)Nc1nnc(COc2ccc(C(C)(C)C)cc2)s1,290.07
CCc1c(C)c(C#N)c2nc3ccccc3n2c1N1CCOCC1,393.63
Cc1ccc(C(=O)N[C@H]2CCCCNC2=O)cc1,269.93
O=S(=O)(CCSc1ccccc1)c1ccc(Cl)cc1,280.73
CSc1ccc2cnn(C[C@H](C)N)c2c1,287.54
CCc1ccccc1OCC(=O)Oc1ccc(C)cc1,270.97
CCc1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1CC,337.58
CCOC(=O)c1cc(C)nc(Sc2ccccn2)c1C#N,356.75
Cn1cccc1C=C(C#N)C#N,318.59
CC(C)(C)c1cc(CC(=O)O)cc(C(C)(C)C)c1O,249.11
C#C[C@](C)(CC)NC(=O)c1ccc(OC)c(OC)c1,270.09
CCN1C(=O)O[C@](C)(CCc2ccccc2)[C@@]1(C)O,230.02
Cn1c(=O)n(C)c2cc(/C=C3/NC(=O)NC3=O)ccc21,379.4
CCC1=NN(C(=O)c2cccnc2)[C@](O)(c2ccc(OC)cc2)C1,288.51
O=C(COc1ccc(F)cc1)N/N=C/c1ccc([N+](=O)[O-])cc1,376.99
CC(C)Oc1ccc(-c2csc(N)n2)cc1,282.23
COc1c2n(c3ccccc13)CCNC2,278.67
C[C@H]1CCCN(C(=O)c2cc3ccccc3oc2=O)C1,359.81
CCC[C@H]1Oc2ccccc2[C@@H]2CC(c3ccccc3)=NN21,293.43
Cc1ccc(C(=O)O/N=C(\c2ccccc2)c2ccncc2)cc1,293.6
COC(=O)CSCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,261.44
N[C@H](CC(=O)O)c1cccc2ccccc12,290.4
CCOC(=O)Cn1nnc(-c2ccc(C)cc2)n1,257.06
Cc1ccc(NC(=O)c2c(C)nn(-c3ccccc3)c2Cl)c(C)c1,273.45
Cc1cc2nc(SCc3cc4c(cc3Cl)OCO4)[nH]c2cc1C,290.02
COc1ccc(CC(=O)N2N=C(C)C[C@@]2(O)c2cccnc2)cc1,298.79
CCCS(=O)(=O)[C@H](C#N)c1ccccc1[N+](=O)[O-],331.81
COc1ccccc1-c1coc2cc(OC(=O)C(C)C)ccc2c1=O,334.85
Cc1ccccc1/C=C1\N=C(c2ccccc2Cl)OC1=O,368.33
Cc1csc2ncnc(NNC(=O)c3ccc(Cl)cc3)c12,314.64
